# Z1 Z2     a1   b1[1/Ang]  a2     b2[1/Ang]   a3    b3[1/Ang] error(V>30) error(V>10)
 1  1 -8.99999   9.55658  9.99999  8.89086  0.00000  0.00000  1.32%  3.14%
 1  2  0.94987   4.64258  0.05013  0.00000  0.00000  0.00000  1.02%  1.22%
 1  3  0.43236   8.97939  0.56764  2.09066  0.00000  0.00000  1.22%  2.32%
 1  4  0.18682  17.23310  0.81318  2.90303  0.00000  0.00000  2.02%  4.78%
 1  5  0.07991  33.23003  0.92009  3.56059  0.00000  0.00000  3.42%  6.23%
 1  6  0.04216  52.55236  0.95784  4.02649  0.00000  0.00000  3.56% 10.02%
 1  7  0.00946 253.62770  0.99054  4.54159  0.00000  0.00000  4.68% 12.25%
 1  8  0.00153 999.99999  0.99847  4.93687  0.00000  0.00000  4.80% 13.13%
 1  9  1.00000   5.38074  0.00000  0.00000  0.00000  0.00000  5.88% 13.62%
 1 10  0.05491  46.95345  0.94509  4.72304  0.00000  0.00000  1.24%  2.56%
 1 11  0.04032  60.84911  0.92627  5.20991  0.03342  0.04652  0.87%  1.12%
 1 12  0.70095   7.44242  0.29905  2.04960  0.00000  0.00000  1.50%  2.90%
 1 13  0.00621 252.79082  0.50772  9.68628  0.48608  2.65998  2.26%  4.40%
 1 14  0.34955  14.03500  0.65045  3.21949  0.00000  0.00000  3.38%  6.01%
 1 15  0.28809  17.15894  0.71191  3.47154  0.00000  0.00000  3.47%  7.14%
 1 16  0.22579  22.36467  0.77421  3.77146  0.00000  0.00000  4.50%  8.32%
 1 17  0.19633  25.98855  0.80367  3.96955  0.00000  0.00000  4.61% 10.14%
 1 18  0.28115  19.72677  0.71885  3.41452  0.00000  0.00000  1.93%  1.95%
 1 19  0.31388  17.37283  0.68612  3.28805  0.00000  0.00000  1.46%  2.81%
 1 20  0.27641  19.56308  0.72359  3.51229  0.00000  0.00000  1.19%  1.46%
 1 21  0.22186  24.68168  0.77814  3.85354  0.00000  0.00000  1.22%  1.48%
 1 22  0.20192  26.76673  0.79808  4.05412  0.00000  0.00000  1.18%  1.46%
 1 23  0.18557  28.77993  0.81443  4.24139  0.00000  0.00000  1.09%  1.55%
 1 24  0.17485  30.07874  0.82515  4.40623  0.00000  0.00000  0.96%  1.59%
 1 25  0.16114  32.19712  0.83886  4.59356  0.00000  0.00000  0.87%  1.63%
 1 26  0.15111  33.91723  0.84889  4.76731  0.00000  0.00000  0.80%  1.41%
